config_id,model_name,topic_id,topic_label,top_words,size,assigned_paper_ids,assigned_paper_titles,human_interpretability_label
bertopic_reduced_k7,BERTopic,0,way / milky / milky way,way; milky; milky way; spiral; galaxy; arms; material; stars; disk; dark,9,paper_002; paper_003; paper_006; paper_011; paper_015; paper_016; paper_019; paper_021; paper_024,Spiral structure of the Milky Way and external galaxies | Deflection of the hypervelocity stars by the dance of the Milky Way and Large Magellanic Cloud | High-Velocity Neutral Hydrogen in the Central Region of the Andromeda Galaxy | Triangulum galaxy viewed byPlanck | The Calculations of Gravity Fields and Rotation Curves of Whirlpool Galaxies and Dark Material | Phase-space Correlation in Stellar Streams of the Milky Way Halo: The Clash of Kshir and GD-1* | A Dynamical Model of the M101/NGC 5474 Encounter | Morphology and Kinematics of the Gas in M51: How Interaction with NGC 5195 Has Molded the Structure of Its Arms | Surveying the Whirlpool at Arcseconds with NOEMA (SWAN),"Galaxy dynamics, spiral structure and gas kinematics"
bertopic_reduced_k7,BERTopic,1,sculptor / stars / dsph,sculptor; stars; dsph; galaxy; dwarf; fornax; star; giant; rgb; sculptor dsph,6,paper_025; paper_026; paper_027; paper_028; paper_029; paper_030,A recent merger in the Fornax dwarf spheroidal galaxy | New Photometric Surveys of the Fornax Dwarf Spheroidal Galaxy | Variable Stars in the Fornax Dwarf Galaxy | Chemistry of Stars in the Sculptor Dwarf Galaxy from VLT-FLAMES | Exploring Halo Substructure with Giant Stars. VIII. The Extended Structure of the Sculptor Dwarf Spheroidal Galaxy | The ESO-Sculptor Survey: Galaxy Populations and Luminosity Function at z < 0.5,Dwarf spheroidal galaxies and stellar populations
bertopic_reduced_k7,BERTopic,2,decomposition / galaxies / halo,decomposition; galaxies; halo; stellar; gc; sombrero; sombrerolike galaxies; sombrerolike; photometric; using,4,paper_004; paper_009; paper_017; paper_020,"HST photometry of Globular Clusters in the Sombrero Galaxy | Spectra of globular clusters in the Sombrero galaxy: Evidence for spectroscopic metallicity bimodality | Mapping the Milky Way with LAMOST – II. The stellar halo | Beyond Morphology: Challenges in Decomposing Massive Stellar Halos in Sombrero-like, Halo-Embedded Disk Galaxies, Halo-Embedded Disk Galaxies","Stellar halos, globular clusters and galaxy structure"
bertopic_reduced_k7,BERTopic,3,markarian / source / galaxies,markarian; source; galaxies; kev; m87; scan; absorption; comptonreflection; 3c; nuclei,4,paper_005; paper_007; paper_008; paper_010,Sombrero Galaxy as an Accelerator of Ultrahigh Energy Cosmic Ray Nuclei | A Photometric Study of Markarian Galaxies | The X-ray variability history of Markarian 3 | Evidence for X-Radiation from the Radio Galaxy M87,"Active galaxies, X-ray emission and high-energy processes"
bertopic_reduced_k7,BERTopic,4,iv / tri iv / tri,iv; tri iv; tri; m33; mass; satellites; surface; surface brightness; brightness; distance,3,paper_012; paper_013; paper_018,Mass spectrum of star formation in the Sombrero galaxy | Triangulum IV: A Possible Ultra-Diffuse Satellite of M33 | Dwarf Spheroidal Galaxies in the M101 Group and Behind it,Satellite galaxies and low-surface-brightness systems
bertopic_reduced_k7,BERTopic,5,star formation / formation / star,star formation; formation; star; gas; ngc; kev gas; 05 kev; 05; hot; stellar,2,paper_001; paper_023,Stellar and dust SED modelling of the Whirlpool interacting galaxy system | Fire and Ice in the Whirlpool: Spatially Resolved Scaling Relations between X-Ray-emitting Hot Gas and Cold Molecular Gas in M51,Whirlpool/M51 star formation and multi-phase gas
bertopic_reduced_k7,BERTopic,6,plates / magellanic / stars,plates; magellanic; stars; images; lmc; rr; schmidt; magnitude; field; using,2,paper_014; paper_022,A Survey for RR Lyrae Variables in the Large Magellanic Cloud | The Study of Stellar Populations and Dynamics in the Small Magellanic Cloud using the UKST,Magellanic Clouds and variable stellar populations
lda_count_k5,LDA,0,galaxy / iv / tri,galaxy; iv; tri; tri iv; compton; m33; markarian; compton reflection; reflection; distance,6,paper_005; paper_008; paper_011; paper_012; paper_013; paper_017,Sombrero Galaxy as an Accelerator of Ultrahigh Energy Cosmic Ray Nuclei | The X-ray variability history of Markarian 3 | Triangulum galaxy viewed byPlanck | Mass spectrum of star formation in the Sombrero galaxy | Triangulum IV: A Possible Ultra-Diffuse Satellite of M33 | Mapping the Milky Way with LAMOST – II. The stellar halo,"Mixed high-energy, Triangulum/M33 and galaxy-halo topic"
lda_count_k5,LDA,1,sculptor / stars / galaxy,sculptor; stars; galaxy; star; dsph; gas; kev; hcn; profile; stellar,7,paper_009; paper_010; paper_019; paper_023; paper_024; paper_025; paper_029,Spectra of globular clusters in the Sombrero galaxy: Evidence for spectroscopic metallicity bimodality | Evidence for X-Radiation from the Radio Galaxy M87 | A Dynamical Model of the M101/NGC 5474 Encounter | Fire and Ice in the Whirlpool: Spatially Resolved Scaling Relations between X-Ray-emitting Hot Gas and Cold Molecular Gas in M51 | Surveying the Whirlpool at Arcseconds with NOEMA (SWAN) | A recent merger in the Fornax dwarf spheroidal galaxy | Exploring Halo Substructure with Giant Stars. VIII. The Extended Structure of the Sculptor Dwarf Spheroidal Galaxy,"Mixed stellar populations, gas and galaxy-structure topic"
lda_count_k5,LDA,2,galaxy / stars / spiral,galaxy; stars; spiral; material; way; galaxies; mass; whirlpool; structure; m101,6,paper_002; paper_006; paper_015; paper_018; paper_022; paper_028,Spiral structure of the Milky Way and external galaxies | High-Velocity Neutral Hydrogen in the Central Region of the Andromeda Galaxy | The Calculations of Gravity Fields and Rotation Curves of Whirlpool Galaxies and Dark Material | Dwarf Spheroidal Galaxies in the M101 Group and Behind it | The Study of Stellar Populations and Dynamics in the Small Magellanic Cloud using the UKST | Chemistry of Stars in the Sculptor Dwarf Galaxy from VLT-FLAMES,"Galaxy structure, spiral systems and stellar populations"
lda_count_k5,LDA,3,galaxy / arms / sombrero,galaxy; arms; sombrero; spiral; disk; spiral arms; gc; results; radial; populations,4,paper_004; paper_021; paper_027; paper_030,HST photometry of Globular Clusters in the Sombrero Galaxy | Morphology and Kinematics of the Gas in M51: How Interaction with NGC 5195 Has Molded the Structure of Its Arms | Variable Stars in the Fornax Dwarf Galaxy | The ESO-Sculptor Survey: Galaxy Populations and Luminosity Function at z < 0.5,"Mixed spiral arms, globular clusters and galaxy populations"
lda_count_k5,LDA,4,galaxies / stars / stellar,galaxies; stars; stellar; milky way; milky; way; halo; lmc; star; decomposition,7,paper_001; paper_003; paper_007; paper_014; paper_016; paper_020; paper_026,"Stellar and dust SED modelling of the Whirlpool interacting galaxy system | Deflection of the hypervelocity stars by the dance of the Milky Way and Large Magellanic Cloud | A Photometric Study of Markarian Galaxies | A Survey for RR Lyrae Variables in the Large Magellanic Cloud | Phase-space Correlation in Stellar Streams of the Milky Way Halo: The Clash of Kshir and GD-1* | Beyond Morphology: Challenges in Decomposing Massive Stellar Halos in Sombrero-like, Halo-Embedded Disk Galaxies, Halo-Embedded Disk Galaxies | New Photometric Surveys of the Fornax Dwarf Spheroidal Galaxy","Stellar halos, Milky Way/LMC and galaxy structure"
lda_count_k6,LDA,0,galaxy / iv / tri,galaxy; iv; tri; tri iv; compton; m33; markarian; compton reflection; reflection; distance,6,paper_005; paper_008; paper_011; paper_012; paper_013; paper_017,Sombrero Galaxy as an Accelerator of Ultrahigh Energy Cosmic Ray Nuclei | The X-ray variability history of Markarian 3 | Triangulum galaxy viewed byPlanck | Mass spectrum of star formation in the Sombrero galaxy | Triangulum IV: A Possible Ultra-Diffuse Satellite of M33 | Mapping the Milky Way with LAMOST – II. The stellar halo,"Mixed high-energy, Triangulum/M33 and galaxy-halo topic"
lda_count_k6,LDA,1,galaxy / source / fornax,galaxy; source; fornax; kev; view; 3c; 3c 273; 273; m87; scan,3,paper_010; paper_019; paper_025,Evidence for X-Radiation from the Radio Galaxy M87 | A Dynamical Model of the M101/NGC 5474 Encounter | A recent merger in the Fornax dwarf spheroidal galaxy,"Mixed X-ray source, M101 interaction and dwarf-galaxy topic"
lda_count_k6,LDA,2,galaxy / stars / spiral,galaxy; stars; spiral; material; way; galaxies; mass; structure; whirlpool; milky,6,paper_002; paper_006; paper_015; paper_018; paper_022; paper_028,Spiral structure of the Milky Way and external galaxies | High-Velocity Neutral Hydrogen in the Central Region of the Andromeda Galaxy | The Calculations of Gravity Fields and Rotation Curves of Whirlpool Galaxies and Dark Material | Dwarf Spheroidal Galaxies in the M101 Group and Behind it | The Study of Stellar Populations and Dynamics in the Small Magellanic Cloud using the UKST | Chemistry of Stars in the Sculptor Dwarf Galaxy from VLT-FLAMES,"Galaxy structure, spiral systems and stellar populations"
lda_count_k6,LDA,3,galaxy / arms / sombrero,galaxy; arms; sombrero; gc; spiral; disk; gcs; radial; spiral arms; metallicity,4,paper_004; paper_009; paper_021; paper_027,HST photometry of Globular Clusters in the Sombrero Galaxy | Spectra of globular clusters in the Sombrero galaxy: Evidence for spectroscopic metallicity bimodality | Morphology and Kinematics of the Gas in M51: How Interaction with NGC 5195 Has Molded the Structure of Its Arms | Variable Stars in the Fornax Dwarf Galaxy,"Mixed Sombrero globular clusters, spiral arms and stellar variables"
lda_count_k6,LDA,4,galaxies / stars / stellar,galaxies; stars; stellar; milky way; milky; way; halo; lmc; star; decomposition,7,paper_001; paper_003; paper_007; paper_014; paper_016; paper_020; paper_026,"Stellar and dust SED modelling of the Whirlpool interacting galaxy system | Deflection of the hypervelocity stars by the dance of the Milky Way and Large Magellanic Cloud | A Photometric Study of Markarian Galaxies | A Survey for RR Lyrae Variables in the Large Magellanic Cloud | Phase-space Correlation in Stellar Streams of the Milky Way Halo: The Clash of Kshir and GD-1* | Beyond Morphology: Challenges in Decomposing Massive Stellar Halos in Sombrero-like, Halo-Embedded Disk Galaxies, Halo-Embedded Disk Galaxies | New Photometric Surveys of the Fornax Dwarf Spheroidal Galaxy","Stellar halos, Milky Way/LMC and galaxy structure"
lda_count_k6,LDA,5,sculptor / stars / star,sculptor; stars; star; dsph; gas; hcn; galaxy; density; giant; profile,4,paper_023; paper_024; paper_029; paper_030,Fire and Ice in the Whirlpool: Spatially Resolved Scaling Relations between X-Ray-emitting Hot Gas and Cold Molecular Gas in M51 | Surveying the Whirlpool at Arcseconds with NOEMA (SWAN) | Exploring Halo Substructure with Giant Stars. VIII. The Extended Structure of the Sculptor Dwarf Spheroidal Galaxy | The ESO-Sculptor Survey: Galaxy Populations and Luminosity Function at z < 0.5,"Mixed molecular gas, Sculptor stars and galaxy-survey topic"
lda_count_k7,LDA,0,galaxy / iv / tri,galaxy; iv; tri; tri iv; compton; m33; markarian; compton reflection; reflection; distance,6,paper_005; paper_008; paper_011; paper_012; paper_013; paper_017,Sombrero Galaxy as an Accelerator of Ultrahigh Energy Cosmic Ray Nuclei | The X-ray variability history of Markarian 3 | Triangulum galaxy viewed byPlanck | Mass spectrum of star formation in the Sombrero galaxy | Triangulum IV: A Possible Ultra-Diffuse Satellite of M33 | Mapping the Milky Way with LAMOST – II. The stellar halo,"Mixed high-energy, Triangulum/M33 and galaxy-halo topic"
lda_count_k7,LDA,1,fornax / galaxy / metallicity,fornax; galaxy; metallicity; dwarf; distribution; colour; gc; dwarf galaxy; stars; spectra,2,paper_009; paper_025,Spectra of globular clusters in the Sombrero galaxy: Evidence for spectroscopic metallicity bimodality | A recent merger in the Fornax dwarf spheroidal galaxy,Metallicity and dwarf-galaxy stellar populations
lda_count_k7,LDA,2,galaxy / m101 / stars,galaxy; m101; stars; radial; stellar; dwarf; mass; velocity; region; magellanic,4,paper_006; paper_018; paper_022; paper_028,High-Velocity Neutral Hydrogen in the Central Region of the Andromeda Galaxy | Dwarf Spheroidal Galaxies in the M101 Group and Behind it | The Study of Stellar Populations and Dynamics in the Small Magellanic Cloud using the UKST | Chemistry of Stars in the Sculptor Dwarf Galaxy from VLT-FLAMES,"Mixed M101, Magellanic and dwarf-galaxy stellar populations"
lda_count_k7,LDA,3,galaxy / arms / sombrero,galaxy; arms; sombrero; source; view; spiral; kev; disk; 273; scan,5,paper_004; paper_010; paper_021; paper_027; paper_030,HST photometry of Globular Clusters in the Sombrero Galaxy | Evidence for X-Radiation from the Radio Galaxy M87 | Morphology and Kinematics of the Gas in M51: How Interaction with NGC 5195 Has Molded the Structure of Its Arms | Variable Stars in the Fornax Dwarf Galaxy | The ESO-Sculptor Survey: Galaxy Populations and Luminosity Function at z < 0.5,"Mixed Sombrero, M87, spiral arms and galaxy populations"
lda_count_k7,LDA,4,stars / stellar / milky,stars; stellar; milky; way; milky way; galaxies; halo; lmc; star; decomposition,6,paper_001; paper_003; paper_014; paper_016; paper_020; paper_026,"Stellar and dust SED modelling of the Whirlpool interacting galaxy system | Deflection of the hypervelocity stars by the dance of the Milky Way and Large Magellanic Cloud | A Survey for RR Lyrae Variables in the Large Magellanic Cloud | Phase-space Correlation in Stellar Streams of the Milky Way Halo: The Clash of Kshir and GD-1* | Beyond Morphology: Challenges in Decomposing Massive Stellar Halos in Sombrero-like, Halo-Embedded Disk Galaxies, Halo-Embedded Disk Galaxies | New Photometric Surveys of the Fornax Dwarf Spheroidal Galaxy","Stellar halos, Milky Way/LMC and galaxy structure"
lda_count_k7,LDA,5,stars / sculptor / spiral,stars; sculptor; spiral; star; gas; dsph; galaxy; hcn; structure; giant,4,paper_002; paper_023; paper_024; paper_029,Spiral structure of the Milky Way and external galaxies | Fire and Ice in the Whirlpool: Spatially Resolved Scaling Relations between X-Ray-emitting Hot Gas and Cold Molecular Gas in M51 | Surveying the Whirlpool at Arcseconds with NOEMA (SWAN) | Exploring Halo Substructure with Giant Stars. VIII. The Extended Structure of the Sculptor Dwarf Spheroidal Galaxy,"Mixed spiral structure, molecular gas and Sculptor halo topic"
lda_count_k7,LDA,6,galaxies / material / galaxy,galaxies; material; galaxy; whirlpool; dark; baryon; dark material; m101ʼs; rotation; disk,3,paper_007; paper_015; paper_019,A Photometric Study of Markarian Galaxies | The Calculations of Gravity Fields and Rotation Curves of Whirlpool Galaxies and Dark Material | A Dynamical Model of the M101/NGC 5474 Encounter,Whirlpool/M101 galaxy dynamics and dark material
